Key	[en] Platform - prod	[ru] Russian 	[ko] Korean 	[zh-cn] Simplified Chinese 	[zh-tw] Traditional Chinese	[fr] French 	[de] German	[es] Spanish 	[pt] Portuguese 	[it] Italian 	[pl] Polish 	[cs] Czech	[tr] Turkish 	[ja] Japanese 	[th] Thai 	[vi] Vietnamese 	[hu] Hungarian
common.close	Close	Закрыть	닫기	关闭	關閉	Fermer	Schließen	Cerrar	Fechar	Chiudi	Zamknij	Zavřít	Kapat	閉じる	ปิด	Đóng	Bezárás
common.back	Back	Назад	뒤로	后退	上一步	Retour	Zurück	Atrás	Voltar	Indietro	Powrót	Zpět	Geri	戻る	กลับ	Quay lại	Vissza
common.next	Next	Далее	다음	前进	下一步	Suivant	Weiter	Siguiente	Seguinte	Avanti	Dalej	Další	Sonraki	次へ	ถัดไป	Tiếp	Következő
common.somethingWentWrong	Something went wrong	Что-то пошло не так	문제가 발생했습니다	出问题了	出錯了	Une erreur s'est produite	Etwas ist schiefgelaufen	Algo ha salido mal	Ocorreu um erro	Qualcosa è andato storto	Coś poszło nie tak	Něco se nezdařilo	Bir sorun oluştu	問題が発生しました	มีบางอย่างผิดพลาด	Đã xảy ra lỗi	Valami félresikerült
common.oops	Oops...	Ой...	이런...	糟糕……	哎呀……	Oh, non...	Hoppla ...	Ups...	Opa...	Ops...	Ups...	Jejda...	Tüh...	すみません…	โอ๊ะ...	Rất tiếc...	Hoppá...
common.500	Please try again later or contact tech support	Повторите попытку позже или свяжитесь с техподдержкой	나중에 다시 시도하거나 기술 지원팀에 문의하세요	请稍后再试或联系技术支持	請稍後再試或聯繫技術支援	Réessayez plus tard ou contactez notre assistance technique	Bitte versuche es später noch einmal oder wende dich an den technischen Support	Inténtalo de nuevo o ponte en contacto con nuestro equipo de asistencia técnica	Tente de novo mais tarde ou contate o suporte técnico	Riprova più tardi o contatta l'assistenza tecnica	Spróbuj ponownie później lub skontaktuj się z pomocą techniczną	Zkus to později znovu, nebo kontaktuj technickou podporu	Lütfen daha sonra tekrar dene veya teknik destekle iletişime geç	後ほどふたたびお試しいただくか、テクニカルサポートにご連絡ください	กรุณาลองอีกครั้งในภายหลัง หรือติดต่อฝ่ายสนับสนุน	Vui lòng thử lại sau hoặc liên hệ với bộ phận hỗ trợ kỹ thuật	Kérjük, próbáld újra, vagy vedd fel a kapcsolatot a műszaki ügyfélszolgálatunkkal

privacyPolicyConfirmation.title	Privacy Policy confirmation	Соглашение о конфиденциальности	개인정보 처리방침 확인	隐私政策确认	隱私政策確認	Confirmation de la politique de confidentialité	Bestätigung der Datenschutzrichtlinie	Confirmación de la política de privacidad	Confirmação da Política de Privacidade	Accetta l'Informativa sulla privacy	Potwierdzenie przeczytania polityki prywatności	Potvrzení Zásad ochrany soukromí	Gizlilik Politikası onayı	プライバシーポリシーの承諾	ยืนยันนโยบายความเป็นส่วนตัว	Xác nhận Chính sách quyền riêng tư	Adatvédelmi szabályzat elfogadása
privacyPolicyConfirmation.desc	By checking these boxes, you confirm that you have read and understood the Terms of Service and the LTG Privacy Policy in their entirety	Устанавливая эти флажки, вы подтверждаете, что ознакомились с Условиями обслуживания и Политикой конфиденциальности LTG и согласны с ними.	이 상자에 체크 표시를 하면 이용약관 및 LTG 개인정보 처리방침의 전문을 읽었으며 이해했음에 동의하게 됩니다.	勾选这些方框，即表示你确认已阅读并理解服务条款和LTG隐私政策的全部内容	透過勾選這些複選框，即表示你確認已閱讀並理解服務條款和LTG隱私政策的全部內容。	En cochant ces cases, vous confirmez avoir lu et compris les conditions d'utilisation et la politique de confidentialité de LTG dans leur intégralité.	Indem du diese Kästchen anklickst, bestätigst du, dass du die Nutzungsbedingungen und die LTG-Datenschutzrichtlinie vollständig gelesen und verstanden hast	Al marcar estas casillas, confirmas que has leído y entiendes las condiciones del servicio y la política de privacidad de LTG en su totalidad.	Marque estas caixas para confirmar que leu e compreendeu completamente os Termos de Serviço e a Política de Privacidade LTG	Selezionando queste caselle, confermi di aver letto e compreso i Termini di servizio e l'Informativa sulla privacy di LTG nella loro interezza.	Poprzez zaznaczenie tych pól potwierdzasz zapoznanie się z całą treścią warunków świadczenia usług i polityki prywatności LTG	Zaškrtnutím těchto políček potvrzuješ, že Podmínkám poskytování služby a Zásadám LTG ohledně ochrany soukromí plně rozumíš	Bu kutuları işaretleyerek Hizmet Şartları ve LTG Gizlilik Politikasını bütünüyle okuyup anladığını onaylamış olursun	これらの箱にチェックを入れることで、あなたは利用規約およびLTGプライバシーポリシーをすべて読み、理解したことを承諾します	เมื่อติ๊กกล่องข้อความเหล่านี้ คุณได้ยืนยันว่าอ่านและทำความเข้าใจข้อตกลงการให้บริการและนโยบายความเป็นส่วนตัวของ LTG ทั้งหมดแล้ว	Bằng việc đánh dấu vào các ô này, bạn xác nhận rằng bạn đã đọc và hoàn toàn hiểu Điều khoản dịch vụ và Chính sách quyền riêng tư của LTG	Ezeknek a négyzeteknek a bejelölésével megerősíted, hogy teljes egészében elolvastad és megértetted a Szolgáltatási feltételeket és az LTG Adatvédelmi szabályzatát.
privacyPolicyConfirmation.privacyAndCookiesPolicy	Privacy and cookies policy	Конфиденциальность и правила использования файлов cookie	개인정보 처리방침 및 쿠키 정책	隐私和Cookie政策	隱私和Cookie政策	Politique de confidentialité et de cookies	Datenschutz- und Cookie-Richtlinie	Política de cookies y de privacidad	Política de Privacidade e cookies	Informativa sulla privacy e sui cookie	Polityka prywatności i dotycząca plików cookie	Zásady ochrany soukromí a používání souborů cookie	Gizlilik ve çerez politikası	プライバシーとクッキーポリシー	นโยบายความเป็นส่วนตัวและคุกกี้	Chính sách quyền riêng tư và cookie	Adatvédelmi és sütiszabályzat
privacyPolicyConfirmation.termsOfService	Terms of Service	Условия обслуживания	이용약관	服务条款	服務條款	Conditions d'utilisation	Nutzungsbedingungen	Condiciones del servicio	Termos de Serviço	Termini di servizio	Warunki świadczenia usług	Podmínky poskytování služby	Hizmet Şartları	利用規約	ข้อตกลงการให้บริการ	Điều khoản dịch vụ	Szolgáltatási feltételek
privacyPolicyConfirmation.submit	OK	ОК	확인	确定	確定	D'accord	OK	OK	Ok	OK	OK	OK	Tamam	OK	ตกลง	OK	OK

